Total Population,Did Not Grad HS,Grad HS or Higher,Bachelor Degree or Higher,households,NTA,Median Household Income,Total Pop 25 and over
48351,2734,29374,11362,16432,Georgetown-Marine Park-Bergen Beach-Mill Basin,1520979.0,32108
61584,6094,39445,16743,25070,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1054259.0,45539
100130,14357,52523,16187,40818,Crown Heights North,980637.0,66880
33155,5964,19097,9312,14888,East Williamsburg,519058.0,25061
24199,3630,13179,4001,7749,College Point,354073.0,16809
24083,1606,14276,4788,7622,Charleston-Richmond Valley-Tottenville,342708.0,15882
25619,1560,17392,10002,9677,Douglas Manor-Douglaston-Little Neck,554014.0,18952
28727,1787,17929,6037,9786,Annadale-Huguenot-Prince's Bay-Eltingville,521048.0,19716
43427,2143,27933,8645,15289,Great Kills,718593.0,30076
53800,9477,24580,5710,18657,Soundview-Castle Hill-Clason Point-Harding Park,490852.0,34057
0,0,0,0,0,Airport,,0
60575,8224,37864,17313,26309,Hunters Point-Sunnyside-West Maspeth,,46088
28201,2026,15529,5269,7896,Rosedale,506307.0,17555
26139,3762,16198,5404,11247,Pelham Bay-Country Club-City Island,340905.0,19960
27562,7125,8394,1333,8877,Hunts Point,149520.0,15519
30018,6461,13994,3584,11215,Seagate-Coney Island,236991.0,20455
50294,7666,22544,7022,16060,Far Rockaway-Bayswater,354594.0,30210
416,73,178,128,170,park-cemetery-etc-Brooklyn,,251
1377,241,646,184,482,park-cemetery-etc-Bronx,,887
46104,5669,25457,6976,16655,Schuylerville-Throgs Neck-Edgewater Park,958549.0,31126
32331,2833,20280,7999,11544,Whitestone,632863.0,23113
54932,14503,21335,8093,17023,Sunset Park West,,35838
438,88,235,102,162,park-cemetery-etc-Queens,,323
26959,2854,15482,3582,9939,Springfield Gardens North,169006.0,18336
15472,1272,12146,5413,8026,West Brighton,158958.0,13418
69397,8671,37883,10320,26016,Prospect Lefferts Gardens-Wingate,726125.0,46554
37506,1149,26679,22078,18931,Battery Park City-Lower Manhattan,904097.0,27828
12822,1582,7249,1999,6378,Starrett City,49725.0,8831
35500,5456,15971,3543,12157,Hammels-Arverne-Edgemere,338136.0,21427
9741,4285,1930,127,0,Rikers Island,,6215
91956,13229,40343,6479,30771,East New York,936755.0,53572
86160,8240,47139,13583,27669,Canarsie,,55379
31214,3313,16258,5655,11686,West New Brighton-New Brighton-St. George,520272.0,19571
0,0,0,0,0,park-cemetery-etc-Staten Island,,0
28769,3721,17750,4937,11261,Lindenwood-Howard Beach,274894.0,21471
24202,1516,15565,5419,9083,Westerleigh,592003.0,17081
33532,3520,18224,7133,11797,Pomonok-Flushing Heights-Hillcrest,436329.0,21744
50358,10590,23583,10385,18168,Marble Hill-Inwood,301285.0,34173
49001,6027,31266,14858,20793,Steinway,,37293
30473,3241,15231,3741,10025,Mariner's Harbor-Arlington-Port Ivory-Graniteville,417929.0,18472
41899,4726,23371,8496,15435,Homecrest,726502.0,28097
26982,3649,15358,9163,11560,Fort Greene,593123.0,19007
23858,3134,10515,3378,7941,Grymes Hill-Clifton-Fox Hills,232524.0,13649
46694,5240,26167,13205,18506,Central Harlem South,461086.0,31407
41243,5040,19562,5825,14662,Crown Heights South,358170.0,24602
51098,4708,29462,7814,15308,St. Albans,,34170
33728,6374,16346,4211,13479,Bronxdale,282549.0,22720
26336,6128,7901,1593,8338,Fordham South,122945.0,14029
54091,12232,22845,5498,16253,Corona,500159.0,35077
29543,2463,18861,7616,11319,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,654845.0,21324
41871,9212,13967,2241,14245,East Tremont,248589.0,23179
20449,1289,14690,10718,9394,Prospect Heights,493713.0,15979
1483,622,801,86,0,park-cemetery-etc-Manhattan,,1423
39517,2863,24956,8792,13345,New Springville-Bloomfield-Travis,846652.0,27819
31931,2730,19908,7710,11096,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,611438.0,22638
47526,8322,19462,3009,13634,Cypress Hills-City Line,648452.0,27784
21864,620,15992,12610,10481,Stuyvesant Town-Cooper Village,196932.0,16612
25542,6226,7924,1105,8318,Longwood,102323.0,14150
106203,15325,39704,10192,28325,Borough Park,1103775.0,55029
56277,6678,31482,6595,20055,Rugby-Remsen Village,895192.0,38160
27943,4474,16149,6490,8870,East Flushing,713248.0,20623
23070,4217,10867,2522,6264,East Elmhurst,446564.0,15084
20684,2327,12672,5679,7182,Auburndale,481591.0,14999
61503,8770,29436,7297,20322,Williamsbridge-Olinville,845829.0,38206
51509,7745,30893,12828,17877,Murray Hill,886570.0,38638
29854,4968,11224,1618,9841,East New York (Pennsylvania Ave),283190.0,16192
30376,3871,17084,5449,12590,Parkchester,237017.0,20955
20212,1939,12597,4149,6337,Cambria Heights,1041587.0,14536
19541,1635,10037,3923,6607,Ocean Parkway South,457247.0,11672
77676,2738,60452,48787,43613,Yorkville,845466.0,63190
37872,8402,13303,2172,12475,Morrisania-Melrose,201923.0,21705
21520,2745,11685,3243,6273,Hollis,586063.0,14430
22427,1679,15697,7828,9167,Glen Oaks-Floral Park-New Hyde Park,372525.0,17376
105188,18329,55413,19404,36495,Jackson Heights,956384.0,73742
54326,4182,30050,22186,20166,Morningside Heights,584877.0,34232
35886,8443,13042,2305,11247,Soundview-Bruckner,286087.0,21485
33404,4394,18141,6158,9707,Allerton-Pelham Gardens,740550.0,22535
40001,4475,23611,10600,15022,Madison,867590.0,28086
23845,5695,9727,3061,8130,Manhattanville,,15422
26470,4040,14756,7359,10958,Old Astoria,383558.0,18796
67185,939,52486,44710,37218,West Village,1543420.0,53425
45805,5611,24755,7913,15128,Woodlawn-Wakefield,795616.0,30366
86592,18869,41767,11962,29717,Bensonhurst West,1154642.0,60636
18310,1355,10775,4135,6303,New Brighton-Silver Lake,385105.0,12130
71460,23809,22093,6663,20544,Sunset Park East,,45902
42931,3116,32248,22449,25261,Clinton,475620.0,35364
36864,5660,17168,3911,11627,South Jamaica,723238.0,22828
22136,2873,11608,2786,6837,Ozone Park,,14481
45522,4320,28976,13701,16043,Bayside-Bayside Hills,1370116.0,33296
49715,8554,23230,6058,17347,Van Cortlandt Village,407304.0,31784
31522,2788,22473,12283,15124,Greenpoint,768685.0,25261
52132,13379,16402,2606,17497,Mott Haven-Port Morris,292015.0,29781
44304,5500,26879,7895,18258,Co-op City,132948.0,32379
78193,11793,40034,14908,33203,Central Harlem North-Polo Grounds,561459.0,51827
18539,3471,8158,2504,7283,Queensbridge-Ravenswood-Long Island City,,11629
31584,3127,20525,9305,13764,Brighton Beach,341212.0,23652
61066,13766,30761,10082,21737,Bensonhurst East,771772.0,44527
18177,1273,11284,5910,6582,Fresh Meadows-Utopia,318200.0,12557
27483,4924,11864,2840,8788,Westchester-Unionport,307537.0,16788
27500,1946,19326,10697,12455,Rego Park,462214.0,21272
28228,852,21674,17353,15964,Midtown-Midtown South,1836030.0,22526
25635,3645,13492,4372,9115,Stapleton-Rosebank,416062.0,17137
60465,12193,24871,7910,22183,East Harlem North,324588.0,37064
61817,18411,18848,5896,18885,Bushwick North,498817.0,37259
49515,1274,36284,29246,26173,Murray Hill-Kips Bay,649992.0,37558
30715,7126,9425,1415,9847,Claremont-Bathgate,197591.0,16551
19240,2118,10170,2569,6369,Port Richmond,245172.0,12288
30191,5248,16143,6144,11364,Pelham Parkway,435733.0,21391
48393,759,39835,32421,29094,Turtle Bay-East Midtown,,40594
81378,2663,63100,49892,43515,Lenox Hill-Roosevelt Island,963448.0,65763
52237,11949,18797,3611,16528,Mount Hope,374998.0,30746
38449,4725,22984,11273,13557,Briarwood-Jamaica Hills,623856.0,27709
135718,6896,99701,77530,66941,Upper West Side,1523418.0,106597
22943,1571,16016,7880,10253,Ft. Totten-Bay Terrace-Clearview,,17587
25783,5182,7409,1352,8319,Belmont,107846.0,12591
50922,11594,22517,6104,15700,Jamaica,,34111
65199,11269,30694,8821,17535,Richmond Hill,1482453.0,41963
60205,1827,46166,38313,32169,Lincoln Square,915858.0,47993
52591,11469,20376,4243,18253,Bedford Park-Fordham North,322405.0,31845
37065,7784,13679,2159,12711,Highbridge,179813.0,21463
36676,4879,17434,4404,11599,Eastchester-Edenwald-Baychester,390639.0,22313
51527,8930,25733,10303,18678,Hamilton Heights,268970.0,34663
19938,1087,12638,3777,6945,Rossville-Woodrow,267418.0,13725
24799,1307,15826,5406,8805,Arden Heights,344766.0,17133
69299,3471,52777,40435,39072,Hudson Yards-Chelsea-Flatiron-Union Square,1493443.0,56248
26075,711,20271,16492,14877,Gramercy,390330.0,20982
89551,22664,39441,14910,29283,Washington Heights South,446030.0,62105
59550,8958,28670,8038,17140,Woodhaven,1159801.0,37628
39680,9148,14258,2557,12795,West Concourse,207197.0,23406
70095,9688,30338,9385,24225,Bedford,702984.0,40026
25141,2639,14755,4620,7891,Laurelton,871570.0,17394
57549,6707,32293,9239,16048,Queens Village,1451519.0,39000
25964,1957,16032,6789,8110,Bellerose,475335.0,17989
43755,2632,29411,21682,22306,East Village,518245.0,32043
80046,13759,38998,9011,22031,South Ozone Park,1484630.0,52757
34293,4073,17624,3719,10364,Baisley Park,970284.0,21697
64331,9830,31170,8847,24360,Stuyvesant Heights,669067.0,41000
71247,15225,29166,8026,24164,Bushwick South,840415.0,44391
19901,1738,10868,3014,5553,Springfield Gardens South-Brookville,407557.0,12606
45259,7462,25377,11098,16388,Woodside,690284.0,32839
29848,2802,19250,10730,12741,Spuyten Duyvil-Kingsbridge,638759.0,22052
63504,14870,23859,5325,21343,East Concourse-Concourse Village,401452.0,38729
39020,9340,12007,1902,12776,Melrose South-Mott Haven North,206117.0,21347
32828,4287,8642,1000,8299,Williamsburg,151570.0,12929
46070,6504,25270,15171,19172,North Side-South Side,736085.0,31774
30098,5510,13828,3889,9657,Van Nest-Morris Park-Westchester Square,544692.0,19338
23498,326,17971,14652,11346,Brooklyn Heights-Cobble Hill,637162.0,18297
28097,1674,18950,9288,11235,Oakland Gardens,463400.0,20624
29311,5036,16215,5467,10726,Bath Beach,586776.0,21251
52657,4350,31744,8391,18217,East Flatbush-Farragut,1114112.0,36094
51514,4207,28366,13730,18430,Midwood,989513.0,32573
22571,1579,14748,9118,9510,Windsor Terrace,492431.0,16327
36199,4399,18569,8030,12037,Kensington-Ocean Parkway,345570.0,22968
71085,12640,36093,17719,25490,Washington Heights North,549953.0,48733
25067,2236,16204,8435,9489,Jamaica Estates-Holliswood,657799.0,18440
70872,6154,40100,12581,23279,Flatlands,1758555.0,46254
41217,7170,17662,4900,14192,Norwood,259905.0,24832
21208,1358,13245,4035,7881,New Dorp-Midland Beach,370793.0,14603
29933,3931,15335,3172,10222,Erasmus,285001.0,19266
70166,11655,34160,8745,23963,Ridgewood,,45815
74243,18158,36782,16902,30216,Lower East Side,635184.0,54940
26839,1490,16969,10952,10909,North Riverdale-Fieldston-Riverdale,,18459
53944,11063,20336,3499,17631,University Heights-Morris Heights,,31399
39422,3777,25487,17034,17628,Carroll Gardens-Columbia Street-Red Hook,1005602.0,29264
35373,4182,21797,13914,15085,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1003599.0,25979
30599,6199,13467,3266,10599,Kingsbridge Heights,199619.0,19666
45216,9343,22456,7615,14966,Dyker Heights,1016628.0,31799
36413,2736,21954,12890,14937,Clinton Hill,601196.0,24690
27759,5272,15125,4710,11068,Gravesend,318003.0,20397
83821,8827,51312,25866,34990,Bay Ridge,1669952.0,60139
105094,13971,53651,18634,37482,Flatbush,1223438.0,67622
46550,14351,20645,9643,18107,Chinatown,290031.0,34996
39062,4725,24400,8101,14899,Middle Village,,29125
58834,732,44723,37490,28751,Upper East Side-Carnegie Hill,2192460.0,45455
59794,11006,29379,13624,22874,East Harlem South,461872.0,40385
84904,18542,40818,14104,27528,Elmhurst,788935.0,59360
31750,3499,18308,4242,11561,Glendale,720089.0,21807
14775,1669,8681,3430,5438,Grasmere-Arrochar-Ft. Wadsworth,334044.0,10350
72864,4304,50178,38863,31068,Park Slope-Gowanus,1890499.0,54482
69382,13568,38614,14569,25643,Flushing,515667.0,52182
24999,2432,15173,5221,8752,Old Town-Dongan Hills-South Beach,301270.0,17605
20989,3438,11102,4286,6384,Queensboro Hill,265148.0,14540
36683,2600,21506,10762,13265,Kew Gardens Hills,522429.0,24106
35325,7841,13706,3076,11448,West Farms-Bronx River,228883.0,21547
31831,4847,14163,2674,11686,Ocean Hill,362434.0,19010
55412,8733,23392,3181,20316,Brownsville,426336.0,32125
22878,2029,15058,7925,9997,Kew Gardens,417829.0,17087
22038,1773,14213,4591,8194,Oakwood-Oakwood Beach,390145.0,15986
84694,4904,60759,35923,38771,Forest Hills,1825183.0,65663
20352,4581,6542,1345,6912,Crotona Park East,155441.0,11123
40059,3572,26436,21189,18761,SoHo-TriBeCa-Civic Center-Little Italy,1129924.0,30008
50295,14249,17452,2462,11533,North Corona,425052.0,31701
27677,3675,16148,4217,10629,Maspeth,807240.0,19823
25088,5031,13664,5271,8352,Elmhurst-Maspeth,306071.0,18695
75149,9965,47306,22615,34018,Astoria,1280677.0,57271
